Year,Congress,Session,Member,First,Last,State,Party,v_110_2_001,v_110_2_002,v_110_2_003,v_110_2_004,v_110_2_005,v_110_2_006,v_110_2_007,v_110_2_008,v_110_2_009,v_110_2_010,v_110_2_011,v_110_2_012,v_110_2_013,v_110_2_014,v_110_2_015,v_110_2_016,v_110_2_017,v_110_2_018,v_110_2_019,v_110_2_020,v_110_2_021,v_110_2_022,v_110_2_023,v_110_2_024,v_110_2_025,v_110_2_026,v_110_2_027,v_110_2_028,v_110_2_029,v_110_2_030,v_110_2_031,v_110_2_032,v_110_2_033,v_110_2_034,v_110_2_035,v_110_2_036,v_110_2_037,v_110_2_038,v_110_2_039,v_110_2_040,v_110_2_041,v_110_2_042,v_110_2_043,v_110_2_044,v_110_2_045,v_110_2_046,v_110_2_047,v_110_2_048,v_110_2_049,v_110_2_050,v_110_2_051,v_110_2_052,v_110_2_053,v_110_2_054,v_110_2_055,v_110_2_056,v_110_2_057,v_110_2_058,v_110_2_059,v_110_2_060,v_110_2_061,v_110_2_062,v_110_2_063,v_110_2_064,v_110_2_065,v_110_2_066,v_110_2_067,v_110_2_068,v_110_2_069,v_110_2_070,v_110_2_071,v_110_2_072,v_110_2_073,v_110_2_074,v_110_2_075,v_110_2_076,v_110_2_077,v_110_2_078,v_110_2_079,v_110_2_080,v_110_2_081,v_110_2_082,v_110_2_083,v_110_2_084,v_110_2_085,v_110_2_086,v_110_2_087,v_110_2_088,v_110_2_089,v_110_2_090,v_110_2_091,v_110_2_092,v_110_2_093,v_110_2_094,v_110_2_095,v_110_2_096,v_110_2_097,v_110_2_098,v_110_2_099,v_110_2_100,v_110_2_101,v_110_2_102,v_110_2_103,v_110_2_104,v_110_2_105,v_110_2_106,v_110_2_107,v_110_2_108,v_110_2_109,v_110_2_110,v_110_2_111,v_110_2_112,v_110_2_113,v_110_2_114,v_110_2_115,v_110_2_116,v_110_2_117,v_110_2_118,v_110_2_119,v_110_2_120,v_110_2_121,v_110_2_122,v_110_2_123,v_110_2_124,v_110_2_125,v_110_2_126,v_110_2_127,v_110_2_128,v_110_2_129,v_110_2_130,v_110_2_131,v_110_2_132,v_110_2_133,v_110_2_134,v_110_2_135,v_110_2_136,v_110_2_137,v_110_2_138,v_110_2_139,v_110_2_140,v_110_2_141,v_110_2_142,v_110_2_143,v_110_2_144,v_110_2_145,v_110_2_146,v_110_2_147,v_110_2_148,v_110_2_149,v_110_2_150,v_110_2_151,v_110_2_152,v_110_2_153,v_110_2_154,v_110_2_155,v_110_2_156,v_110_2_157,v_110_2_158,v_110_2_159,v_110_2_160,v_110_2_161,v_110_2_162,v_110_2_163,v_110_2_164,v_110_2_165,v_110_2_166,v_110_2_167,v_110_2_168,v_110_2_169,v_110_2_170,v_110_2_171,v_110_2_172,v_110_2_173,v_110_2_174,v_110_2_175,v_110_2_176,v_110_2_177,v_110_2_178,v_110_2_179,v_110_2_180,v_110_2_181,v_110_2_182,v_110_2_183,v_110_2_184,v_110_2_185,v_110_2_186,v_110_2_187,v_110_2_188,v_110_2_189,v_110_2_190,v_110_2_191,v_110_2_192,v_110_2_193,v_110_2_194,v_110_2_195,v_110_2_196,v_110_2_197,v_110_2_198,v_110_2_199,v_110_2_200,v_110_2_201,v_110_2_202,v_110_2_203,v_110_2_204,v_110_2_205,v_110_2_206,v_110_2_207,v_110_2_208,v_110_2_209,v_110_2_210,v_110_2_211,v_110_2_212,v_110_2_213,v_110_2_214,v_110_2_215
2008,110,2,McConnell (R-KY),Mitch,McConnell,KY,R,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay
2008,110,2,Menendez (D-NJ),Robert,Menendez,NJ,D,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2008,110,2,Mikulski (D-MD),Barbara,Mikulski,MD,D,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2008,110,2,Murkowski (R-AK),Lisa,Murkowski,AK,R,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay
2008,110,2,Murray (D-WA),Patty,Murray,WA,D,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea
2008,110,2,Nelson (D-FL),Bill,Nelson,FL,D,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea
2008,110,2,Nelson (D-NE),E.,Nelson,NE,D,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2008,110,2,Obama (D-IL),Barack,Obama,IL,D,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,
2008,110,2,Pryor (D-AR),Mark,Pryor,AR,D,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2008,110,2,Reed (D-RI),John,Reed,RI,D,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea
2008,110,2,Reid (D-NV),Harry,Reid,NV,D,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay
2008,110,2,Roberts (R-KS),Pat,Roberts,KS,R,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay
2008,110,2,Rockefeller (D-WV),Jay,Rockefeller,WV,D,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea
